feature,coefficient,abs_coefficient
mberboer,-1.0001046961930833,1.0001046961930833
ppersaut,0.8091193280913063,0.8091193280913063
pbesaut,-0.6227613424513853,0.6227613424513853
pwaland,-0.4895676376544772,0.4895676376544772
mgodge,-0.4716383466626162,0.4716383466626162
mberzelf,-0.4616519937781611,0.4616519937781611
mopllaag,-0.4138165028316075,0.4138165028316075
mgodrk,-0.4095992990596448,0.4095992990596448
mgodpr,-0.3970299752042896,0.3970299752042896
pplezier,0.3837721426977921,0.3837721426977921
awaland,-0.36683346277494455,0.36683346277494455
mrelov,-0.35217336735096805,0.35217336735096805
mskd,-0.34320007919102785,0.34320007919102785
pbrom,-0.3101513133867634,0.3101513133867634
moshoofd,-0.30972892354150355,0.30972892354150355
