feature,importance,abs_importance
ppersaut,0.13462926704661368,0.13462926704661368
pbrand,0.06894699910559561,0.06894699910559561
pplezier,0.03928397446374403,0.03928397446374403
mkoopkla,0.03733116929545615,0.03733116929545615
aplezier,0.03407985135417215,0.03407985135417215
mberhoog,0.03284977306605798,0.03284977306605798
mgodge,0.030355084985649212,0.030355084985649212
mbermidd,0.028676425410365056,0.028676425410365056
mgodov,0.028356171991877767,0.028356171991877767
moshoofd,0.027724591775029516,0.027724591775029516
minkgem,0.0274520723226528,0.0274520723226528
pwapart,0.026692832425161926,0.026692832425161926
mgemleef,0.022030192825723566,0.022030192825723566
mostype,0.020883746346789127,0.020883746346789127
mopllaag,0.020428958622432856,0.020428958622432856
