feature,importance,abs_importance
ppersaut,0.09596303305489076,0.09596303305489076
apersaut,0.0546432061664222,0.0546432061664222
pbrand,0.047450060788696166,0.047450060788696166
mostype,0.03335203274751744,0.03335203274751744
minkm30,0.027523027426728228,0.027523027426728228
minkgem,0.026941193383415975,0.026941193383415975
mkoopkla,0.026665033618696453,0.026665033618696453
mhhuur,0.0264843581081752,0.0264843581081752
mopllaag,0.02568224176814982,0.02568224176814982
moshoofd,0.024835365438486263,0.024835365438486263
maut1,0.023473144598988614,0.023473144598988614
mhkoop,0.02246633734734502,0.02246633734734502
mberarbg,0.02176469693664006,0.02176469693664006
mink4575,0.02106600502065954,0.02106600502065954
mbermidd,0.020932951212765387,0.020932951212765387
