feature,importance,abs_importance
ppersaut,0.07817019736837798,0.07817019736837798
apersaut,0.04755253806544431,0.04755253806544431
pbrand,0.03832459884624883,0.03832459884624883
mostype,0.03332702433615973,0.03332702433615973
mopllaag,0.027684606991829896,0.027684606991829896
mkoopkla,0.027514419582909247,0.027514419582909247
moshoofd,0.02733299723126171,0.02733299723126171
minkm30,0.027069318995727572,0.027069318995727572
minkgem,0.025995890210510998,0.025995890210510998
mink4575,0.02225899620654023,0.02225899620654023
mhhuur,0.022255819911796478,0.022255819911796478
mhkoop,0.022003094851067072,0.022003094851067072
maut1,0.021986977276727753,0.021986977276727753
pwapart,0.021442757199905224,0.021442757199905224
mbermidd,0.021415492782657735,0.021415492782657735
