feature,importance,abs_importance
ppersaut,0.13959662855699398,0.13959662855699398
pbrand,0.08067576142938764,0.08067576142938764
pplezier,0.04239549296426244,0.04239549296426244
mberarbg,0.038821203446887845,0.038821203446887845
mberhoog,0.03631919781204694,0.03631919781204694
mopllaag,0.03456505196357261,0.03456505196357261
pwapart,0.033186781344776387,0.033186781344776387
mkoopkla,0.03298762396615684,0.03298762396615684
moshoofd,0.03195569542009045,0.03195569542009045
aplezier,0.026618737664595757,0.026618737664595757
mbermidd,0.02368545013484457,0.02368545013484457
mhkoop,0.02358790392678226,0.02358790392678226
minkgem,0.023579299116022145,0.023579299116022145
moplmidd,0.022264017731243386,0.022264017731243386
moplhoog,0.02007849590298898,0.02007849590298898
