feature,importance,abs_importance
ppersaut,0.08170509666082955,0.08170509666082955
apersaut,0.046483667184107326,0.046483667184107326
pbrand,0.04393682196394833,0.04393682196394833
mostype,0.031239946553883086,0.031239946553883086
moshoofd,0.028319831703760165,0.028319831703760165
mopllaag,0.02765282230415357,0.02765282230415357
mkoopkla,0.02731462202892483,0.02731462202892483
minkgem,0.026549052931011924,0.026549052931011924
minkm30,0.026338161344981965,0.026338161344981965
mhkoop,0.021791741331417654,0.021791741331417654
mhhuur,0.021268716195737856,0.021268716195737856
mberarbg,0.02095832499820934,0.02095832499820934
pwapart,0.02095487210520999,0.02095487210520999
mbermidd,0.020904391028150917,0.020904391028150917
maut1,0.020396512899926885,0.020396512899926885
