feature,importance,abs_importance
ppersaut,0.1404875689359927,0.1404875689359927
pbrand,0.0804342745634151,0.0804342745634151
pplezier,0.046073004621242024,0.046073004621242024
mberarbg,0.03907560130134847,0.03907560130134847
mberhoog,0.03646648584525929,0.03646648584525929
pwapart,0.03337862916402486,0.03337862916402486
mopllaag,0.03225222536464896,0.03225222536464896
moshoofd,0.031099149725617538,0.031099149725617538
mkoopkla,0.030992296207666442,0.030992296207666442
mhkoop,0.025114292985092723,0.025114292985092723
minkgem,0.024150631615516942,0.024150631615516942
mbermidd,0.02382901212259164,0.02382901212259164
aplezier,0.02287773586274952,0.02287773586274952
moplmidd,0.02129172917113744,0.02129172917113744
moplhoog,0.020937252839206263,0.020937252839206263
