feature,importance,abs_importance
ppersaut,0.07286746626150628,0.07286746626150628
apersaut,0.05201952399765973,0.05201952399765973
pbrand,0.04474710822632921,0.04474710822632921
mostype,0.03280648804779793,0.03280648804779793
mkoopkla,0.027630165677458827,0.027630165677458827
moshoofd,0.026791603007484108,0.026791603007484108
mopllaag,0.025511300940963995,0.025511300940963995
minkm30,0.025226370332400508,0.025226370332400508
minkgem,0.02391526078829508,0.02391526078829508
mhkoop,0.02353925200624936,0.02353925200624936
pwapart,0.023150659951830247,0.023150659951830247
maut1,0.021310687136038575,0.021310687136038575
mhhuur,0.02107443247292016,0.02107443247292016
mbermidd,0.020236126245396613,0.020236126245396613
mberarbg,0.019546808952838828,0.019546808952838828
